,Unnamed: 0,Currency,Name,Units per EUR,EUR per unit,Date,Rate,Change
20,20,IDR,Indonesian Rupiah,15501.4419187999,6.45101e-05,2022-06-01,,
205,20,IDR,Indonesian Rupiah,15459.9628691225,6.46832e-05,2022-06-02,,
390,20,IDR,Indonesian Rupiah,15476.1497384314,6.46156e-05,2022-06-03,,
575,20,IDR,Indonesian Rupiah,15475.8849617805,6.46167e-05,2022-06-04,,
760,20,IDR,Indonesian Rupiah,15473.0053005793,6.46287e-05,2022-06-05,,
945,20,IDR,Indonesian Rupiah,15437.4054277985,6.47777e-05,2022-06-06,,
1130,20,IDR,Indonesian Rupiah,15469.6278879558,6.46428e-05,2022-06-07,,
1315,20,IDR,Indonesian Rupiah,15562.6797824807,6.42563e-05,2022-06-08,,
1501,20,IDR,Indonesian Rupiah,15550.0823275176,6.43083e-05,2022-06-09,,
1687,20,IDR,Indonesian Rupiah,15390.3678414864,6.49757e-05,2022-06-10,,
1873,20,IDR,Indonesian Rupiah,15331.6339682322,6.52246e-05,2022-06-11,,
2059,20,IDR,Indonesian Rupiah,15339.5611186165,6.51909e-05,2022-06-12,,
2245,20,IDR,Indonesian Rupiah,15378.9357630352,6.5024e-05,2022-06-13,,
2431,20,IDR,Indonesian Rupiah,15353.4960078044,6.51317e-05,2022-06-14,,
2617,20,IDR,Indonesian Rupiah,15344.161848896,6.51714e-05,2022-06-15,,
2803,20,IDR,Indonesian Rupiah,15624.0739404573,6.40038e-05,2022-06-16,,
2989,20,IDR,Indonesian Rupiah,15544.4826466604,6.43315e-05,2022-06-17,,
3175,20,IDR,Indonesian Rupiah,15565.1675680963,6.4246e-05,2022-06-18,,
3361,20,IDR,Indonesian Rupiah,15536.1803427903,6.43659e-05,2022-06-19,,
3547,20,IDR,Indonesian Rupiah,15619.9924262001,6.40205e-05,2022-06-20,,
3733,20,IDR,Indonesian Rupiah,15641.0345105511,6.39344e-05,2022-06-21,,
3919,20,IDR,Indonesian Rupiah,15700.8715979243,6.36907e-05,2022-06-22,,
4105,20,IDR,Indonesian Rupiah,15611.28841898,6.40562e-05,2022-06-23,,
4291,20,IDR,Indonesian Rupiah,15633.3146773034,6.3966e-05,2022-06-24,,
4477,20,IDR,Indonesian Rupiah,15671.5630372405,6.38098e-05,2022-06-25,,
4663,20,IDR,Indonesian Rupiah,15673.1465331789,6.38034e-05,2022-06-26,,
4849,20,IDR,Indonesian Rupiah,15699.1368729514,6.36978e-05,2022-06-27,,
5035,20,IDR,Indonesian Rupiah,15644.1159970833,6.39218e-05,2022-06-28,,
5221,20,IDR,Indonesian Rupiah,15572.1454710443,6.42172e-05,2022-06-29,,
5407,20,IDR,Indonesian Rupiah,15630.0147088968,6.39795e-05,2022-06-30,,
5593,20,IDR,Indonesian Rupiah,15604.1592799659,6.40855e-05,2022-07-01,,
5779,20,IDR,Indonesian Rupiah,15599.5664588957,6.41043e-05,2022-07-02,,
5965,20,IDR,Indonesian Rupiah,15603.4138356857,6.40885e-05,2022-07-03,,
6151,20,IDR,Indonesian Rupiah,15638.9055669247,6.39431e-05,2022-07-04,,
6337,20,IDR,Indonesian Rupiah,15399.6813915556,6.49364e-05,2022-07-05,,
6523,20,IDR,Indonesian Rupiah,15267.2868912911,6.54995e-05,2022-07-06,,
6709,20,IDR,Indonesian Rupiah,15204.7449786607,6.57689e-05,2022-07-07,,
6895,20,IDR,Indonesian Rupiah,15237.9081883672,6.56258e-05,2022-07-08,,
7081,20,IDR,Indonesian Rupiah,15253.6791470576,6.5558e-05,2022-07-09,,
7267,20,IDR,Indonesian Rupiah,15266.3464221919,6.55036e-05,2022-07-10,,
7453,20,IDR,Indonesian Rupiah,15143.6417010722,6.60343e-05,2022-07-11,,
7639,20,IDR,Indonesian Rupiah,15067.372646837,6.63686e-05,2022-07-12,,
7825,20,IDR,Indonesian Rupiah,15136.5512390173,6.60652e-05,2022-07-13,,
8011,20,IDR,Indonesian Rupiah,15072.3796694219,6.63465e-05,2022-07-14,,
8197,20,IDR,Indonesian Rupiah,15139.2886681455,6.60533e-05,2022-07-15,,
8383,20,IDR,Indonesian Rupiah,15129.5943238488,6.60956e-05,2022-07-16,,
8569,20,IDR,Indonesian Rupiah,15130.7541237621,6.60906e-05,2022-07-17,,
8755,20,IDR,Indonesian Rupiah,15210.7039038799,6.57432e-05,2022-07-18,,
8941,20,IDR,Indonesian Rupiah,15309.7781453721,6.53177e-05,2022-07-19,,
9127,20,IDR,Indonesian Rupiah,15296.3666639774,6.5375e-05,2022-07-20,,
9313,20,IDR,Indonesian Rupiah,15336.713459725,6.5203e-05,2022-07-21,,
9499,20,IDR,Indonesian Rupiah,15316.8616716667,6.52875e-05,2022-07-22,,
9685,20,IDR,Indonesian Rupiah,15345.2647459094,6.51667e-05,2022-07-23,,
9871,20,IDR,Indonesian Rupiah,15321.2745863817,6.52687e-05,2022-07-24,,
10057,20,IDR,Indonesian Rupiah,15268.8688632065,6.54927e-05,2022-07-25,,
10243,20,IDR,Indonesian Rupiah,15164.6755758397,6.59427e-05,2022-07-26,,
10429,20,IDR,Indonesian Rupiah,15141.0463318814,6.60456e-05,2022-07-27,,
10615,20,IDR,Indonesian Rupiah,15144.5038917842,6.60306e-05,2022-07-28,,
10801,20,IDR,Indonesian Rupiah,15159.2325443292,6.59664e-05,2022-07-29,,
10987,20,IDR,Indonesian Rupiah,15286.9631379099,6.54152e-05,2022-07-30,,
11173,20,IDR,Indonesian Rupiah,15286.3559714003,6.54178e-05,2022-07-31,,
11359,20,IDR,Indonesian Rupiah,15242.363792826,6.56066e-05,2022-08-01,,
11545,20,IDR,Indonesian Rupiah,15147.2554375796,6.60186e-05,2022-08-02,,
11731,20,IDR,Indonesian Rupiah,15082.9145297494,6.63002e-05,2022-08-03,,
11917,20,IDR,Indonesian Rupiah,15224.8108696764,6.56823e-05,2022-08-04,,
12103,20,IDR,Indonesian Rupiah,15202.0024274676,6.57808e-05,2022-08-05,,
12289,20,IDR,Indonesian Rupiah,15175.8221671621,6.58943e-05,2022-08-06,,
12475,20,IDR,Indonesian Rupiah,15178.3084561402,6.58835e-05,2022-08-07,,
12661,20,IDR,Indonesian Rupiah,15162.646575478,6.59515e-05,2022-08-08,,
12847,20,IDR,Indonesian Rupiah,15209.6303479773,6.57478e-05,2022-08-09,,
13033,20,IDR,Indonesian Rupiah,15268.1641590404,6.54958e-05,2022-08-10,,
13219,20,IDR,Indonesian Rupiah,15198.1453625729,6.57975e-05,2022-08-11,,
13405,20,IDR,Indonesian Rupiah,15035.7266634295,6.65083e-05,2022-08-12,,
13591,20,IDR,Indonesian Rupiah,15067.1121056854,6.63697e-05,2022-08-13,,
13777,20,IDR,Indonesian Rupiah,15061.3315321382,6.63952e-05,2022-08-14,,
13963,20,IDR,Indonesian Rupiah,15018.6086777349,6.65841e-05,2022-08-15,,
14149,20,IDR,Indonesian Rupiah,15013.5983093326,6.66063e-05,2022-08-16,,
14335,20,IDR,Indonesian Rupiah,15021.0646820522,6.65732e-05,2022-08-17,,
14521,20,IDR,Indonesian Rupiah,14993.2766611788,6.66966e-05,2022-08-18,,
14707,20,IDR,Indonesian Rupiah,14961.1230791954,6.68399e-05,2022-08-19,,
14893,20,IDR,Indonesian Rupiah,14918.4060828997,6.70313e-05,2022-08-20,,
15079,20,IDR,Indonesian Rupiah,14929.1248208599,6.69832e-05,2022-08-21,,
15265,20,IDR,Indonesian Rupiah,14823.1295643449,6.74621e-05,2022-08-22,,
15451,20,IDR,Indonesian Rupiah,14816.6811966044,6.74915e-05,2022-08-23,,
15637,20,IDR,Indonesian Rupiah,14784.0391689732,6.76405e-05,2022-08-24,,
15823,20,IDR,Indonesian Rupiah,14729.1023960171,6.78928e-05,2022-08-25,,
16009,20,IDR,Indonesian Rupiah,14824.028515449,6.7458e-05,2022-08-26,,
16195,20,IDR,Indonesian Rupiah,14771.8908746205,6.76961e-05,2022-08-27,,
